,EnumGrammar.INT,EnumGrammar.RBRACE,$,EnumGrammar.IDENTIFIER,EnumGrammar.VARIABLE,EnumGrammar.SUMEXPR,EnumGrammar.FORSTMT,EnumGrammar.CONDITION,EnumGrammar.PARTEXPR,EnumGrammar.FOR,EnumGrammar.STATEMENTNO,EnumGrammar.IFSTMT,EnumGrammar.IF,EnumGrammar.DO,EnumGrammar.FLOAT,EnumGrammar.INTEGER,EnumGrammar.EXPRESSION,EnumGrammar.VARIABLELIST,EnumGrammar.MULEXPR,EnumGrammar.REPEAT,EnumGrammar.STATEMENTLIST,EnumGrammar.RETURN,EnumGrammar.BOOLEXPR,EnumGrammar.COMPUTEEXPR,EnumGrammar.TYPE,EnumGrammar.BREAK,EnumGrammar.EXPRESSIONLIST,EnumGrammar.LPAR,EnumGrammar.INCEXPR,EnumGrammar.DOUBLE,EnumGrammar.PROGRAM,EnumGrammar.STATEMENT,EnumGrammar.COMMENT,EnumGrammar.COMPAREEXPR,EnumGrammar.GT,EnumGrammar.SEMI,EnumGrammar.EQ,EnumGrammar.COMMA,EnumGrammar.LE,EnumGrammar.NE,EnumGrammar.STAR,EnumGrammar.SLASH,EnumGrammar.INC,EnumGrammar.GE,EnumGrammar.ELIF,EnumGrammar.ELSE,EnumGrammar.LT,EnumGrammar.OR,EnumGrammar.MINUS,EnumGrammar.PLUS,EnumGrammar.AND,EnumGrammar.DEC,EnumGrammar.LSQB,EnumGrammar.EQEQ,EnumGrammar.RPAR,EnumGrammar.LBRACE,EnumGrammar.LABEL,EnumGrammar.COMPAREOP,EnumGrammar.INCOP,EnumGrammar.SUMOP,EnumGrammar.MULOP,EnumGrammar.FUNCTION,EnumGrammar.ASSIGN,EnumGrammar.FUN,EnumGrammar.INDEX,EnumGrammar.RSQB,EnumGrammar.BLOCK,EnumGrammar.UNTIL,EnumGrammar.WHILE,EnumGrammar.GOTOLABEL,EnumGrammar.ELIFSTMT
140,r22,r22,r22,r22,,,,,,r22,,,r22,r22,r22,r22,,,,r22,,r22,,,,r22,,r22,,r22,,,r22,,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,
142,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s144,,,,,,,,,,,,,,
143,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s145,,,,,,,,,,,,,,
144,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s146,,,,
145,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s147,,,,
146,r30,r30,r30,r30,,,,,,r30,,,r30,r30,r30,r30,,,,r30,,r30,,,,r30,,r30,,r30,,,r30,,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,
147,r75,r75,r75,r75,,,,,,r75,,,r75,r75,r75,r75,,,,r75,,r75,,,,r75,,r75,,r75,,,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,s148,
148,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s149,,,,,,,,,,,,,,
149,r34,r34,r34,r34,,,,,,r34,,,r34,r34,r34,r34,,,,r34,,r34,,,,r34,,r34,,r34,,,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s132,s131,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,s150
150,r32,r32,r32,r32,,,,,,r32,,,r32,r32,r32,r32,,,,r32,,r32,,,,r32,,r32,,r32,,,r32,,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
